doc_id	table_index	rows	cols	p-value	metadata
17684544	6	2	4	1.92E-08  	['Panel A+B (German CD)', 'p', 'CCA']
17684544	7	4	10	1.13E-28  	['Replication (Panel B)', 'p', 'CCG']
17684544	2	2	8	2.04E-12  	['Screening (Panel A)', 'p', 'CCG']
17684544	6	2	9	5.65E-08  	['Panel A+B+C (German IBD)', 'p', 'CCA']
17684544	6	2	5	1.04E-07  	['Panel A+B (German CD)', 'p', 'CCG']
17684544	7	8	10	1.05E-08  	['Replication (Panel B)', 'p', 'CCG']
17684544	7	4	13	2.51E-49  	['Full (Panel A+B)', 'p', 'CCA']
17684544	7	9	14	1.04E-06  	['Full (Panel A+B)', 'p', 'CCG']
17684544	7	4	5	9.75E-17  	['Screening (Panel A)', 'p', 'CCA']
17684544	6	3	9	3.25E-06  	['Panel A+B+C (German IBD)', 'p', 'CCA']
17684544	6	3	4	1.56E-07  	['Panel A+B (German CD)', 'p', 'CCA']
17684544	7	8	9	4.92E-09  	['Replication (Panel B)', 'p', 'CCA']
17684544	7	8	14	9.21E-09  	['Full (Panel A+B)', 'p', 'CCG']
17684544	7	3	10	1.83E-07  	['Replication (Panel B)', 'p', 'CCG']
17684544	7	4	6	4.68E-13  	['Screening (Panel A)', 'p', 'CCG']
17684544	2	2	13	1.39E-21  	['Replication (Panel B)', 'p', 'CCG']
17684544	7	9	13	2.17E-07  	['Full (Panel A+B)', 'p', 'CCA']
17684544	7	4	9	1.88E-34  	['Replication (Panel B)', 'p', 'CCA']
17684544	6	3	5	8.65E-07  	['Panel A+B (German CD)', 'p', 'CCG']
17684544	2	2	12	6.80E-20  	['Replication (Panel B)', 'p', 'CCA']
17684544	7	2	13	1.29E-18  	['Full (Panel A+B)', 'p', 'CCA']
17684544	2	4	12	4.53E-05  	['Replication (Panel B)', 'p', 'CCA']
17684544	7	3	9	2.05E-08  	['Replication (Panel B)', 'p', 'CCA']
17684544	2	6	12	8.65E-05  	['Replication (Panel B)', 'p', 'CCA']
17684544	6	2	10	3.67E-07  	['Panel A+B+C (German IBD)', 'p', 'CCG']
17684544	2	6	13	8.68E-05  	['Replication (Panel B)', 'p', 'CCG']
17684544	7	10	9	2.01E-05  	['Replication (Panel B)', 'p', 'CCA']
17684544	7	2	5	3.57E-06  	['Screening (Panel A)', 'p', 'CCA']
17684544	3	4	12	1.68E-06  	['Replication (Panel B)', 'p', 'CCA', '0.0035']
17684544	2	2	15	5.90E-08  	['Replication (Panel B)', 'p', 'TDT']
17684544	7	4	14	6.52E-41  	['Full (Panel A+B)', 'p', 'CCG']
17684544	3	4	13	6.37E-06  	['Replication (Panel B)', 'p', 'CCG', '0.016']
17684544	7	4	15	3.31E-22  	['Full (Panel A+B)', 'p', 'TDT']
17684544	3	5	13	2.84E-07  	['Replication (Panel B)', 'p', 'CCG', '0.016']
17684544	7	2	6	5.07E-05  	['Screening (Panel A)', 'p', 'CCG']
17684544	6	3	10	1.28E-05  	['Panel A+B+C (German IBD)', 'p', 'CCG']
17684544	7	3	13	7.44E-10  	['Full (Panel A+B)', 'p', 'CCA']
17684544	6	4	4	7.81E-05  	['Panel A+B (German CD)', 'p', 'CCA']
17684544	7	2	15	3.28E-07  	['Full (Panel A+B)', 'p', 'TDT']
17684544	7	3	14	6.08E-09  	['Full (Panel A+B)', 'p', 'CCG']
17684544	7	2	9	6.71E-14  	['Replication (Panel B)', 'p', 'CCA']
17684544	7	2	14	9.25E-17  	['Full (Panel A+B)', 'p', 'CCG']
17684544	6	2	15	1.24E-07  	['Panel B+D+E (CD replication)', 'p', 'CCA']
17684544	7	8	13	1.11E-09  	['Full (Panel A+B)', 'p', 'CCA']
17684544	7	10	14	4.02E-06  	['Full (Panel A+B)', 'p', 'CCG']
17684544	6	4	9	4.81E-07  	['Panel A+B+C (German IBD)', 'p', 'CCA']
17684544	7	10	13	8.68E-07  	['Full (Panel A+B)', 'p', 'CCA']
17684544	6	2	16	9.50E-07  	['Panel B+D+E (CD replication)', 'p', 'CCG']
17684544	6	4	10	2.91E-06  	['Panel A+B+C (German IBD)', 'p', 'CCG']
17684544	2	2	7	1.93E-13  	['Screening (Panel A)', 'p', 'CCA']
17684544	7	2	10	1.63E-12  	['Replication (Panel B)', 'p', 'CCG']
17684544	7	9	9	2.01E-05  	['Replication (Panel B)', 'p', 'CCA']
17684544	2	3	12	7.59E-05  	['Replication (Panel B)', 'p', 'CCA']
17684544	7	10	10	9.27E-05  	['Replication (Panel B)', 'p', 'CCG']
17684544	7	9	10	9.37E-05  	['Replication (Panel B)', 'p', 'CCG']
17684544	4	3	15	7.59E-05  	['Replication panel B (German CD)', 'p', 'CCA']
17684544	7	10	15	1.36E-05  	['Full (Panel A+B)', 'p', 'TDT']
17684544	4	2	15	4.53E-05  	['Replication panel B (German CD)', 'p', 'CCA']
17903298	2	34	6	0.00002   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	37	6	0.00003   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	20	5	0.000019  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	45	6	0.00006   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	16	5	0.000017  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	40	6	0.00004   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	49	6	0.00007   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	43	6	0.00005   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	12	5	0.000009  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	33	6	0.00002   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	50	6	0.00007   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	19	5	0.000019  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	24	5	0.000026  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	26	5	0.000027  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	51	6	0.00007   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	15	5	0.000014  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	9	5	0.000006  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	36	6	0.00002   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	22	5	0.000022  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	52	6	0.00009   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	35	6	0.00002   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	25	5	0.000026  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	23	5	0.000025  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	39	6	0.00003   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	11	5	0.000008  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	32	6	0.00002   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	18	5	0.000019  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	4	5	0.0000007 	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	47	6	0.00007   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	8	5	0.000005  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	7	5	0.000005  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	46	6	0.00006   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	14	5	0.000011  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	38	6	0.00003   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	21	5	0.000020  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	48	6	0.00007   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	3	5	0.00000002	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	41	6	0.00004   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	10	5	0.000007  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	27	5	0.000027  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	31	6	0.00002   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	17	5	0.000018  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	5	5	0.000002  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	13	5	0.000009  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	42	6	0.00005   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	6	5	0.000003  	['GEE or Cox p-value', '2a.', 'Ordered by GEE p-value']
17903298	2	44	6	0.00005   	['FBAT p-value', '2a.', 'Ordered by GEE p-value']
17903304	2	45	5	9.98E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	51	5	1.51E-04  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	38	5	6.39E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	42	5	7.10E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	19	4	2.59E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	32	5	4.37E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	15	4	1.98E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	53	5	1.72E-04  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	3	4	4.78E-06  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	43	5	7.40E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	50	5	1.49E-04  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	8	4	9.65E-06  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	54	5	1.78E-04  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	3	5	0	0.00001   	['P value group', '0.10 \xe2\x89\xa4 p', '0.01 \xe2\x89\xa4 p < 0.10']
17903304	2	39	5	6.55E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	5	4	7.87E-06  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	37	5	5.53E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	35	5	4.72E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	21	4	2.83E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	9	4	1.05E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	44	5	9.94E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	13	4	1.87E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	31	5	3.06E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	18	4	2.40E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	49	5	1.35E-04  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	26	4	5.23E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	14	4	1.98E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	48	5	1.32E-04  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	52	5	1.55E-04  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	7	4	9.40E-06  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	11	4	1.67E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
